14000PA,,12000PA,,10000PA,,9000PA,,8000PA,,7000PA,,6000PA,,5000PA,,4000PA,,3000PA,,2000PA,,1000PA,,0PA,,-2000PA,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,,,-26.24362895005096,101.15178571428572,-21.554536187563713,103.02678571428572,-26.14169215086646,109.32142857142858,-26.24362895005096,114.14285714285715,-16.66156982670745,115.21428571428572,-16.76350662589195,120.0357142857143,-11.972477064220186,122.84821428571429,-16.559633027522935,129.4107142857143,-16.76350662589195,133.96428571428572,-16.76350662589195,135.57142857142858,-2.59429153924566,133.5625,-16.66156982670745,135.57142857142858
,,,,-30.932721712538232,102.35714285714286,-26.14169215086646,105.03571428571429,-30.830784913353725,111.33035714285715,-30.830784913353725,116.01785714285715,-21.452599388379213,117.49107142857143,-21.554536187563713,122.31250000000001,-16.355759429153935,124.99107142857143,-21.554536187563713,131.28571428571428,-21.452599388379213,134.36607142857144,-21.146788990825698,135.83928571428572,-7.283384301732937,134.5,-21.656472986748227,136.375
,,,,-35.51987767584099,103.1607142857143,-30.932721712538232,106.64285714285715,-35.62181447502549,112.26785714285715,-35.51987767584099,116.82142857142858,-26.24362895005096,119.09821428571429,-26.14169215086646,124.18750000000001,-21.656472986748227,127.80357142857144,-26.14169215086646,132.2232142857143,-26.03975535168196,134.76785714285717,-26.24362895005096,136.10714285714286,-11.972477064220186,134.90178571428572,-26.24362895005096,136.9107142857143
,,,,-38.170234454638134,103.5625,-35.51987767584099,107.58035714285715,-40.310907237512744,112.00000000000001,-40.310907237512744,116.15178571428572,-30.830784913353725,120.30357142857144,-30.830784913353725,125.12500000000001,-23.899082568807344,129.00892857142858,-28.588175331294607,132.625,-30.830784913353725,134.90178571428572,-31.13659531090724,136.77678571428572,-16.559633027522935,135.57142857142858,-31.03465851172274,137.58035714285717
,,,,-40.310907237512744,103.1607142857143,-40.310907237512744,107.71428571428572,-45.101936799184514,111.06250000000001,-45.101936799184514,114.94642857142858,-35.41794087665647,121.37500000000001,-35.72375127420999,125.25892857142858,-26.24362895005096,129.5446428571429,-30.932721712538232,131.95535714285717,-35.51987767584099,135.4375,-35.51987767584099,137.3125,-21.554536187563713,135.83928571428572,-35.51987767584099,138.38392857142858
,,,,-45.101936799184514,103.1607142857143,-45.00000000000001,107.17857142857144,,,,,-40.208970438328244,121.10714285714288,-40.310907237512744,124.7232142857143,-31.03465851172274,130.08035714285717,-35.41794087665647,132.2232142857143,-40.208970438328244,135.83928571428572,-40.41284403669726,137.44642857142858,-26.24362895005096,136.10714285714286,-40.310907237512744,138.51785714285717
,,,,,,,,,,,,-45.00000000000001,120.30357142857144,-45.00000000000001,124.38839285714288,-35.51987767584099,129.67857142857144,-40.10703363914373,132.35714285714286,-45.101936799184514,135.9732142857143,-45.20387359836902,137.71428571428572,-30.932721712538232,136.64285714285717,-44.8980632008155,138.9196428571429
,,,,,,,,,,,,,,,,-39.90316004077473,129.14285714285717,-45.00000000000001,132.75892857142858,,,,,-35.62181447502549,137.17857142857144,,
,,,,,,,,,,,,,,,,-45.00000000000001,129.00892857142858,,,,,,,-40.310907237512744,137.3125,,
,,,,,,,,,,,,,,,,,,,,,,,,-45.101936799184514,137.58035714285717,,
